cultivar,color_descripcion,combina_bien_con,no_combina_con,rendimiento_solido,combo_paquete_documentado,confianza,fuente,notas
Snapdragon Opus Appleblossom,Rosa muy pálido,"Rosados, lavandas, azules claros, amarillos pálidos, blancos, duraznos, verde manzana, rojos, vinotintos, fucsias, rosa chicle","Morados fuertes, naranjas fuertes, amarillos tipo marigold",ALTA — vende muy bien sólida,"Statice apricot o blanco — NO queda bien con Forever Happy especificamente (confirmar si se refiere a otro tono de Statice o a Opus Pink)",media,Vanessa - sesion 2026-08-12,"Rango de combinacion muy amplio — el mas versatil de la serie"
Snapdragon Opus Pink,Rosa chicle,"Fucsia, verde limón, apricot, lila, amarillo tipo marigold, rojo, vino","Morado intenso, azules",ALTA — vende muy bien sólida,"Statice Forever Happy apricot o blanco",media,Vanessa - sesion 2026-08-12,
Snapdragon Monaco Plumblossom,Ciruela y blanco,"Vino, rosa pálido, verde limón, naranja otoñal, blanco, lavanda, lila, morado intenso, azul clarito","Rosado chicle, amarillo intenso, durazno, rojo vivo, azul intenso",MEDIA — vende bien sólida,"Statice blanco, morado o Forever Happy. Bouquet especial ""My Love"" con Amaranto vinotinto",media,Vanessa - sesion 2026-08-12,"Producto nombrado real: bouquet My Love"
Snapdragon Cannes Light Bronze,Durazno con rosado,"Rosado, amarillo pastel, blanco, verde amarillo pastel","Fucsia, morado, lavanda, rojo, vino",ALTA — vende súper bien sola,"Statice blanco y apricot",alta,Vanessa - sesion 2026-08-12,Ya marcada irremplazable en variedades_bitacora.csv
Snapdragon Monaco Orange,Naranja con rosado — más contraste,"Naranja, rosado más intenso","Fucsia, morados, lavandas, amarillo pastel, rojo, vino",ALTA — se vende muy rápido,Mismo combo que Cannes Light Bronze (statice blanco/apricot),media,Vanessa - sesion 2026-08-12,"Vanessa la describe como ""más bella aún"" que Light Bronze"
Snapdragon Opus Lavender + Cannes Lavender,Lavanda,"Rosado, amarillo pastel, apricots, verde limón, blanco, vino","Rojo, fucsia, amarillo intenso, naranja intenso",BAJA — se venden menos en sólido,"Statice Forever Happy, apricot, blanco",media,Vanessa - sesion 2026-08-12,Compensa vendiendo mas en paquete/combinacion que solida
Snapdragon Cannes Lemon,Amarillo,"Amarillo, blanco, verde limón, rosa chicle, salmón","Rosado pálido, lavanda, naranja intenso, rojo, vino",MEDIA — vende bien pero no la más,"Statice Forever Happy y blanco",alta,Vanessa - sesion 2026-08-12,"CONFIRMADO: son dos cultivares distintos, ambos sembrados para el color amarillo"
Snapdragon Orleans Lemon,Amarillo,"Amarillo, blanco, verde limón, rosa chicle, salmón","Rosado pálido, lavanda, naranja intenso, rojo, vino",MEDIA — vende bien pero no la más,"Statice Forever Happy y blanco",alta,Vanessa - sesion 2026-08-12,"CONFIRMADO: son dos cultivares distintos, ambos sembrados para el color amarillo. Comportamiento de color descrito igual a Cannes Lemon — sin diferenciar todavia si difieren en tallo/ciclo/calidad entre si"
Snapdragon Opus Fresh + MB Ivory,Blanco,TODO,Ninguno,MEDIA — consistente pero menor volumen,,alta,Vanessa - sesion 2026-08-12,El unico color que combina con todo el resto de la paleta
Snapdragon Potomac Royal,Fucsia,"Morados intensos, rosa chicle, rojos, vinos, verde limón","Naranjas, amarillos, salmón, apricot",MEDIA-BAJA — vende un poco menos pero se vende,,media,Vanessa - sesion 2026-08-12,
Snapdragon Opus Red + Cannes Red,Vino/rojo,"Rosados de todo tipo, blancos, rojos, fucsias","Morados, lilas, lavandas, amarillos, apricot, salmón",ALTA — ideal,,media,Vanessa - sesion 2026-08-12,"Color rojo especificamente tiene la perdida mas alta por polinizadores de toda la serie — ver ciclos_variedad.csv"
