sujeto,tipo_sujeto,con,tipo_con,regla,fuente,confianza,notas
HONGO,organismo_vivo,FUNGICIDA,categoria,NO_MEZCLAR,"Ficha Raxter Mix SC: ""no debe usarse en mezcla con fungicidas y bactericidas""",INFERIDA_POR_CLASE,"Extendida a todo hongo entomopatogeno: el fungicida lo mata en el tanque. Confirmar en cada ficha. EXCEPCION por ficha: Solar declara compatibilidad con la mayoria de fungicidas; No Fly con la mayoria de productos. La regla queda como alerta de prueba de jarra, no como prohibicion, salvo que la ficha la prohiba (Raxter, Safer Mix)."
HONGO+BACTERIA,organismo_vivo,FUNGICIDA,categoria,NO_MEZCLAR,Ficha Raxter Mix SC,INFERIDA_POR_CLASE,
Raxter Mix SC,producto,BACTERICIDA,categoria,NO_MEZCLAR,Ficha FT8030 v2,FICHA,
Raxter Mix SC,producto,COADYUVANTE con alcohol,categoria,NO_MEZCLAR,Ficha FT8030 v2,FICHA,"Compatible con insecticidas, herbicidas, fertilizantes y coadyuvantes sin alcohol."
Yodosafer,producto,FLORACION,etapa,NO_APLICAR,01-reglas-y-protocolos.md,REPO,
cobre (cupricos),ingrediente,Limonium sinensis con color,cultivo,NO_APLICAR,01-reglas-y-protocolos.md,REPO,Decoloracion permanente.
Glukoplant Ca-BZn,producto,ciclo,limite,MAX_6,01-reglas-y-protocolos.md,REPO,
Botrycid,producto,Botrycid,intervalo,84_DIAS,01-reglas-y-protocolos.md (etiqueta),REPO,Se aplicaba semanal: probable causa de baja eficacia.
calcio,ingrediente,sulfatos / fosfatos,ingrediente,REVISAR,conocimiento general de mezcla (precipitados),GENERAL,Amicos MC es de sulfatos; Glukoplant y ADNGard llevan Ca. Confirmar con fichas o prueba de jarra.
Glukoplant Ca-BZn,producto,"otros minerales (sulfatos, fosfatos)",ingrediente,REVISAR,"hoja Stock: ""Calcio debe aplicarse solo""",INTERPRETACION_VANESSA,"Vanessa 2026-09-23: la nota se refiere a OTROS MINERALES, no a microorganismos ni a insecticidas/fungicidas de contacto. Confirmar contra la ficha de Glukoplant y literatura (precipitados de Ca con sulfatos/fosfatos)."
Safer Mix WP,producto,FUNGICIDA,categoria,NO_MEZCLAR,"hoja Stock: incompatible con fungicidas, bactericidas, UV",VANESSA_HOJA,Confirma la regla por clase de hongo vivo.
Safer Mix WP,producto,BACTERICIDA,categoria,NO_MEZCLAR,hoja Stock,VANESSA_HOJA,
Azasol,producto,"alcalinos (caldo bordeles, azufre de cal)",categoria,NO_MEZCLAR,hoja Stock,VANESSA_HOJA,
Mn / Zn,ingrediente,Naturmix-L + Amicos MC nt + Starzyme,producto,SUMAN,composiciones (hoja Stock + ficha Amicos),VANESSA_HOJA,Las tres fuentes llevan Mn y Zn: en VEG van las tres juntas.
ADN Green,producto,TODO,categoria,PREFERIBLEMENTE_SOLO,Ficha ADN Green v002,FICHA,"Con plaguicidas: prueba a pequena escala. Separar aplicaciones cada 15 dias. Manana, <=26 C."
ADNGard,producto,FUNGICIDA,categoria,CONSULTAR,Ficha ADNGard v002,FICHA,Con insecticidas y acaricidas SI. Aplicar max 3 h despues de mezclar.
Neofat,producto,orden de mezcla,proceso,PRIMERO,Ficha Neofat,FICHA,"Agua + Neofat primero, despues el biologico o la molecula."
Starzyme,producto,pesticidas / surfactantes / foliares,categoria,PRUEBA_DE_JARRA,Ficha Starzyme 2021,FICHA,
Timorex Gold,producto,TODO,categoria,PRUEBA_DE_JARRA,Ficha Timorex Gold 2022,FICHA,"Extracto fungicida: por clase, no con hongos vivos (No Fly, Safer Mix, Solar)."
Fitoderma,producto,TODO salvo fertilizantes,categoria,PREFERIBLEMENTE_SOLO,Ficha Fitoderma 2019,FICHA,Organismos vivos.
Zn,ingrediente,Starzyme + Amicos MC nt + ADNGard + Naturmix-L,producto,SUMAN,"fichas Starzyme (72 g/L Zn), ADNGard (0,4 %), Amicos (1 %)",FICHA,"Starzyme solo ya aporta 1,8 g de Zn por bomba a 25 cc."
Solar,producto,FUNGICIDA,categoria,COMPATIBLE_SEGUN_FICHA,Ficha Solar (Bioquirama 2021),FICHA,La ficha dice compatible con la mayoria de fungicidas; manda sobre la regla por clase HONGO x FUNGICIDA.
Solar,producto,cupricos,ingrediente,NO_MEZCLAR,Ficha Solar,FICHA,
No Fly,producto,TODO,categoria,PRUEBA_DE_JARRA,Ficha No Fly (Futureco),FICHA,Compatible con la mayoria de productos de proteccion; test previo.
Equifun,producto,INSECTICIDA,categoria,COMPATIBLE,Ficha Equifun 2022,FICHA,
Botrycid,producto,Trichoderma,organismo,SINERGIA,Ficha Botrycid v4,FICHA,Fitotripen (Trichoderma) para botrytis y damping off.
Naturmix-L,producto,FOLIAR,via,FUERA_DE_ETIQUETA,Ficha Naturmix-L v1,FICHA,Registrado solo para fertirriego.
Botrycid,producto,Equifun,producto,COMPATIBLE_SEGUN_DCB,01-reglas-y-protocolos.md: combinacion A = Botrycid + Equifun + Neofat,DCB,Mezcla usada historicamente en la finca.
