grupo,sem_germinacion,sem_a_campo_min,sem_a_campo_max,ventana_sem_min,ventana_sem_max,distancia_cm,tallos_planta,pinch,perenne,fuente,notas
Lisianthus,14,19,23,4,6,7.5,2,no,,parametros_siembra.md,NO esta en VARIEDADES_BITACORA. 2a floracion debil. 43 sem desde semilla
Boca de Dragón,5,9,12,2,3,7.5,1,no,,variedades_bitacora.csv + Vanessa sesion 2026-08-12,"Monaco Dark Pink 9 sem (el mas rapido y MEJOR variedad). Opus 10. Potomac 11. MB 12. Ciclo depende de la serie. VENTANA CRITICA: 2 semanas — despues se abre demasiado y pierde vida en florero, hay que cortar a tiempo. Series adaptadas a duracion del dia: grupos 1 y 2 son de dia corto/invierno y no se dan bien en DCB (fotoperiodo no compatible) — EXCEPCIONES en ensayo activo: Doubleshot (grupo corto, usada para centros de mesa) y Avignon (grupo 2, buen trial reciente). OPUS y MONACO tienen los mejores tallos confirmado. Le afecta mucho el calor extremo. No seca bien (ver secado_variedad.csv). PRIORIDAD NUTRICIONAL — tema mas recurrente del grupo: mejorar demanda nutricional en campo para lograr tallos mas turgentes y petalos mas fuertes que no se caigan. Madame Butterfly = la de mas fragancia de toda la serie. Color ROJO tiene la perdida mas alta por polinizadores de toda la serie (ver afinidad_color_bocas_dragon.csv para matriz completa de combinacion de color por cultivar). JERARQUIA POTOMAC CONFIRMADA MAS AMPLIA: Potomac Early (White/Pink/Orange/Yellow) = tallos de menor calidad y mas variabilidad; Potomac Dark Orange = el mejor de los Potomac Early pero aun inferior a Monaco Orange. Confirma y extiende el hallazgo sem24 (Monaco/Opus > Potomac en toda condicion DCB). Snapdragon enanos, Calima Pink, y las etiquetas 'Lilac y Red Dreams' / 'restantes DCB' del log de siembras NO son series relevantes — descartadas/ignoradas por indicacion directa de Vanessa. TALLOS COSECHADOS REALES (corregido — busqueda anterior fallo por tilde en 'Dragon' y reporto 0 por error): 6221 tallos en 83 registros de registro_tallos.csv. Por cultivar: Monaco Orange 1539 (20 reg), Potomac Crimson 1425 (17 reg), Monaco Dark Pink 1284 (16 reg), Opus Fresh 790 (10 reg) + 38 mas con inconsistencia de mayusculas ('opus fresh', 1 reg — corregir en fuente), Monaco Plumblossom 560 (8 reg), Cannes Lavender 128 (2 reg), Opus Pink 125 (3 reg), Monaco Red 115 (2 reg), Cannes Red 114 (2 reg), Potomac Appleblossom 50 (1 reg). Sin plantas trasplantadas vinculadas todavia — no normalizable a tallos/planta/dia (bloqueo Nivel 3.2 del roadmap)."
Boca de Dragón MB,5,12,12,2,2,7.5,1,no,,variedades_bitacora.csv,MB Ivory el mas consistente. Ciclo estable 12 sem. Necesita densidad menor que Potomac
Celosia plumosa,4,14,14,3,4,15,4,no,,parametros_siembra.md + Vanessa 2026-08-13 (cultivares),"Net 1. Con luz da mas largo. CULTIVARES plumosa CONFIRMADOS por Vanessa 2026-08-13: Shimmer, y TODAS las de Floret — Summer Sherbet, Rose Gold, Spun Sugar, Raspberry Lemonade y Glowing Embers. ""Floret"" es el proveedor de semilla, no un subtipo: todas sus celosias del cultivo son plumosas. Glowing Embers no tiene siembra registrada en campo_siembras.csv ni color en paleta_color.csv — es cultivar nuevo, pedirlo. Siguen SIN CONFIRMAR: Sunday y Sylphid. En 3A y MINI, Shimmer va INTERCALADO con las Floret en la misma cama, asi que un corte registrado como ""Mix"" mezcla de verdad tallos de varias — el cultivar exacto es irrecuperable por diseno, no por descuido, pero el SUBTIPO es plumosa con certeza. Por eso el registro debe capturar subtipo siempre y cultivar solo cuando la cama es pura. TEXTURA, 15 cm, 4 tallos/planta."
Celosia cristata,5,14,14,3,3,7.5,1,no,,variedades_bitacora.csv,"Ventana 3 sem (bitacora) no 1. Cristata Verda Green en OBSERVAR: requiere plastico+luz+fertilizacion. CULTIVARES cristata segun campo_siembras.csv, que los escribe completos: Verda Green, Indian Summer, Enda Rose, Reprise Velvet, Reprise Orange, Clubs Cocktail, Chief Carmine. FOCAL, 1 tallo/planta."
Gomphrena,4,13,15,3,6,15,3,no,,variedades_bitacora.csv,"Quis Carmine: ciclo real 13 sem, ventana 6+ sem — la mas versatil. Sequin 15/3. Salmon Pastel 15/3"
Campanula,7,12,13,2,3,7.5,1,no,,variedades_bitacora.csv,"Champion Pink y White: ciclo 12, ventana 3. Siembra mensual fija. Nunca sobra"
Trachellium,,15,15,3,3,15,6,no,,variedades_bitacora.csv,"CORREGIDO: ventana real 3 sem (buena sem 15-16 y luego cae), NO 8-16. tallos_planta=6 sigue ESTIMADO"
Matricaria,4,12,13,2,2,7.5,1,no,,parametros_siembra.md,Net y luz. Sem 70% germinacion
Statice,5,13,15,4,8,30,8,no,,variedades_bitacora.csv,CONFLICTO en bitacora: una fila dice 15/4 y la de CAMBIOS SEM24 dice 13/8. COLAPSO documentado sem 20+ — la ventana util real termina ahi
Limonium,5,13,15,4,8,30,8,no,,variedades_bitacora.csv,Mismo manejo que Statice. Senzii White Ball DESCARTADA por botritis severa
Anémona,3,11,16,4,16,10,12,no,,variedades_bitacora.csv,Bitacora (Anemona/Ranunculo): 16/4. parametros_siembra dice 11/16. Saran. Solo pedidos especiales B2B
Ranúnculo,3,14,16,4,6,20,3,no,,variedades_bitacora.csv,Bitacora 16/4. Saran. Solo pedidos especiales B2B
Ammi,5,12,12,4,4,15,1.5,no,,variedades_bitacora.csv,Ciclo 12 (bitacora) no 13. TODO lo del exterior siempre se vende. Nunca sobra. 3-4 camas constantes
Strawflower,,15,15,6,6,15,6,SI,,variedades_bitacora.csv,Ciclo 15 ventana 6 (bitacora). PINCH obligatorio. tallos_planta=6 sigue ESTIMADO — bitacora lo marca pendiente de cuantificar
Larkspur,6,12,12,2,2,5,1,no,,variedades_bitacora.csv,Ciclo 12 (bitacora) no 13. Light Blue mejor que Misty Lavender: mas colorido y seca mejor
Dusty Miller,6,25,25,3,3,15,8,no,,variedades_bitacora.csv,Solo Silver Dust viable. New Look DESCARTADA permanentemente (nunca elongo). Siembra en zigzag da mejor tallo central (mayor longitud) que surco recto; mayor densidad da tallos mas cortos y laterales casi perdidos — preferir zigzag y densidad menor para maximizar tallo central vendible
Zinnia,4,12,12,4,4,15,1,opcional,,variedades_bitacora.csv,Ciclo 12 ventana 4 (bitacora). Net SI. Pinch a la mitad da 1 mes de diferencia
