bloque,zona_cama,temperatura_rel,humedad_rel,radiacion_rel,ventilacion,presion_agua,uniformidad_riego,suelo_estado,temp_min_c,temp_max_c,hum_rel_pct,confianza,fuente,notas
Inv 1,todas,MEDIA,ALTA_NOCTURNA,MEDIA,BUENA,SIN_FERTIRRIEGO,MANUAL,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Humedad nocturna alta -> mildeo en rosas. Fertilizacion manual en caneca 200 L"
Inv 2,zona alta,ALTA,BAJA,ALTA,SIN_DATO,TANQUE_EN_REPARACION,SIN_DATO,SIN_HISTORIAL_FERTIRRIEGO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Zona alta caliente y seca. Destinada a ensayo Limonium sinensis Diamond"
Inv 2,zona baja,MEDIA,MEDIA,BAJA,SIN_DATO,TANQUE_EN_REPARACION,SIN_DATO,SIN_HISTORIAL_FERTIRRIEGO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Zona baja sombreada. Mejor produccion historica del cultivo cuando operaba"
Inv 3A,camas superiores,ALTA,BAJA,ALTA,SIN_DATO,BAJA,DESIGUAL,BUENO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Mas calor y menos agua. NO aptas para exigentes en agua — Dianthus fracaso confirmado"
Inv 3A,camas inferiores,BAJA,ALTA,MEDIA,SIN_DATO,MEDIA,SIN_DATO,BUENO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Frescas y humedas. Exitosas: larkspur, gomphrena (toleran frescura sin botrytis)"
Inv 3B,todas,MEDIA,MEDIA,MEDIA,SIN_DATO,INSUFICIENTE,DESIGUAL,DEGRADADO_SALINO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Doble limitante: erosion historica + presion insuficiente. C.E. 0.829. Compactacion en la barriga. Fusarium+Botrytis+Oidium en lisianthus"
Inv 3C,todas,BAJA,ALTA_NOCTURNA,BAJA,SIN_DATO,MEDIA,SIN_DATO,BUENO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Fresco, humedo, menos radiacion, pegado al humedal. Inoculo de mosca blanca en suelo. Lisianthus problematico por humedad nocturna"
Mini,todas,MEDIA,MEDIA,BAJA,SIN_DATO,INSUFICIENTE,SIN_DATO,BUENO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Sombra de pinos -> produccion historicamente menor. Ensayo trachelium 1 planta/hueco camas 5-8"
Inv 4A,todas,MEDIA,MEDIA,MEDIA,SIN_DATO,ALTA_UNIFORME,UNIFORME,EXCELENTE_MO_25.6,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Camas cortas = presion uniforme. La leccion transferible mas importante de la finca. Fusarium generalizado en suelo"
Inv 4B,todas,MEDIA,MEDIA,MEDIA,SIN_DATO,ALTA_UNIFORME,UNIFORME,EXCELENTE,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Alerta activa: riesgo botrytis con statice masivo en camas 7B, 10B, 13B"
Inv 4C,todas,MEDIA,MEDIA,MEDIA,SIN_DATO,ALTA_UNIFORME,SIN_DATO,BUENO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Huecos PENDIENTE confirmar"
Inv 4 baja,camas largas,MEDIA,MEDIA,MEDIA,SIN_DATO,MEDIA,SIN_DATO,BUENO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"3 camas de 225h, 212h y ~190h. Camas largas -> revisar si pierden uniformidad"
Inv 5,todas,MEDIA,BAJA,MEDIA,SIN_DATO,LA_PEOR_DEL_SISTEMA,DESIGUAL,SECO_CON_COSTRA,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Trachelium y matricaria vegetativos sin florar — causa confirmada estres hidrico. Inoculo mosca blanca en suelo. La bomba transforma este invernadero"
Inv 6,exterior con mulch,MEDIA,MEDIA,ALTA,ALTA,SIN_DATO,SIN_DATO,PRESION_MALEZA,11,SIN_DATO,SIN_DATO,MIXTA,01-invernaderos.md,"Noches bajan a 11 C — UNICO dato numerico de temperatura en el repo. Mulch plastico negro retiene calor nocturno. Exitosas: Ammi majus, Ammobium, Strawflower, Daucus carota"
Ext Inv2,3 camas,MEDIA,MEDIA,BAJA,ALTA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Sombra de frutales. Candidatas a perennes. Daucus carota exitoso"
Ext Inv3A,3 camas,MEDIA,MEDIA,ALTA,ALTA,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Ammobium bajo plastico, primera cosecha con tela"
Ext Inv3B,3 grandes + 3 pequeñas,MEDIA,MEDIA,ALTA,ALTA,INSUFICIENTE,DESIGUAL,DEGRADADO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Mismos problemas de curvatura que 3B interno. PENDIENTE MEDIR capacidad"
Ext Inv4-5,2 camas,MEDIA,MEDIA,ALTA,PROTEGIDA_VIENTO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,SIN_DATO,CUALITATIVA,01-invernaderos.md,"Comparativo plastico vs sin plastico en curso"
