grupo,variedad,camas_registro,cama_destino,motivo,confianza,fuente,notas
Boca de Dragón,Cannes Lavender,4c+3c,4c,misma_ventana,alta,Vanessa 2026-08-28,"Los 100 tallos anotados en 3C son de la misma ventana que la siembra de 4C. Dictado: ""la siembra del cuatro c, esa si, se le une, suman los tallos que dicen el tres c, porque claramente es de la misma ventana"""
Boca de Dragón,Cannes Light Bronze,3c+4b,3c,misma_siembra,alta,Vanessa 2026-08-28,"Dictado: ""esos tallos cosechados de la Cannes Light Bronze de la cuatro b, hay que sumarselo a la misma siembra del tres c, porque es lo mismo"""
Boca de Dragón,Cannes Pink,4c+3c+4b,4c,misma_ventana,alta,Vanessa 2026-08-28,"Dictado: ""la del cuatro c, de esas saldrian todos los tallos, incluidos los cincuenta que estan arriba, porque es de la misma ventana de cosecha"". Incluye los 300 de 4B: la siembra de 4B esta excluida por cosechar antes del registro, pero los cortes de junio si son de la siembra de 4C"
Boca de Dragón,Cannes Red,3c+4a+4b,3c,misma_ventana,alta,Vanessa 2026-08-28,"CONFIRMADO 2026-08-28: ""red solo 3c"". La siembra de 4A (sem 20) NO entra al denominador — su ventana cae despues del corte del registro. Reemplaza la indicacion anterior de la misma sesion (""debes sumar fila 224 y 235""), que Vanessa corrigio al ver las dos opciones"
Boca de Dragón,Monaco Dark Pink,4a+4b+5,4a,unica_sembrada,alta,Vanessa 2026-08-28,"Dictado: ""Monaco Dark Pink, todas, obviamente, se le atribuyen a la cama del cuatro A, era la unica sembrada"""
Boca de Dragón,Opus Fresh,4a+4b,4a,misma_siembra,alta,Vanessa 2026-08-28,"CONFIRMADO 2026-08-28: ""opus fresh a la del 4a"". La siembra de 4B (sem 2) esta excluida por cosechar en sem 12, antes del registro; sus 140 tallos de junio son de la siembra de 4A"
Boca de Dragón,Opus Appleblossom,3b+3c+5,3b,segundo_flush,alta,Vanessa 2026-08-28,"Dictado: ""esa opus appleblossom del tres b efectivamente se empezo a cosechar como en semana treinta y dos, treinta y tres... ahorita estamos cosechando el segundo flush, es decir, todo lo que haya en opus appleblossom son recientes, es de esa misma siembra"""
Boca de Dragón,Opus Pink,3b+4a+4b,3b,misma_siembra,media,Vanessa 2026-08-28,"CONFIRMADO 2026-08-28: ""opus pink si de la misma"". Los 25 tallos sueltos de 4A y 4B (14-16 jun) entran a la misma siembra que los 280 de 3B. OJO: los cortes de junio son 7 semanas anteriores a los de agosto — confianza media hasta cruzar con la semana de inicio de cosecha de esa siembra"
Boca de Dragón,Potomac Crimson,4a+4b+5,4a,misma_siembra,alta,Vanessa 2026-08-28,"Dictado: ""los Potomac Crimson, todos entran dentro de esa misma siembra"""
Boca de Dragón,Potomac Appleblossom,4b,SIN_RESOLVER,,,Vanessa 2026-08-28,"PENDIENTE — Vanessa: ""potomac no se"". Son 50 tallos anotados el 2026-06-01 en 4B. Ella sospecha que es un error de captura y que van a Opus Appleblossom, pero Opus Appleblossom empezo a cosechar en semana 32 (agosto) y estos son de junio, asi que la fecha no respalda esa reclasificacion. NO se toca hasta confirmar"
