producto,casa,principio_activo,blanco_principal,evidencia,registro,presentacion,precio_lista_cop,cop_por_L_o_kg,dosis_referencia,apto_organico,estado,notas
Serenade SC 1.34,Bayer,Bacillus subtilis QST 713,botrytis + oidio,LIT: amplio espectro en invernadero (botrytis y oidio) -- ScienceDirect 1996 biocontrol greenhouse; Botrytis resistente a fungicidas: rotar modos,ICA 5973,caneca 20 L,1026076,51304,rosa botrytis 2-3 L/ha a 1.000 L/ha = 50-75 cc/bomba (fuente secundaria),SI (biologico),POR_VERIFICAR_FICHA,Endospora: resiste UV -- hora flexible
Sonata SC 1.38,Bayer,Bacillus pumilus QST 2808 (14 g/L),oidio,LIT/FICHA secundaria: registrado para oidio en ornamentales,SIN_DATO,caneca 10 L,667958,66796,0.5-1 L/ha ornamentales (fuente secundaria),SI (biologico),POR_VERIFICAR_FICHA,El unico de la lista registrado especifico para oidio
Subticrop,Bio-Crop,Bacillus subtilis 1e8 UFC/cc,hongos foliares,FICHA FT 8018 (croper.com),SIN_DATO,bidon 1 L,41548,41548,SIN_DATO,SI (biologico),POR_VERIFICAR_FICHA,Alternativa mas barata a Serenade: comparar UFC por peso
Duravel WP,BASF,Bacillus amyloliquefaciens MBI600,botrytis (rosa segun BASF),FICHA BASF,ICA 12647,bolsa 500 g,155546,311092,SIN_DATO,SI (biologico),POR_VERIFICAR_FICHA,
Trichotropico WP,Invesa,Trichoderma spp.,botrytis,LIT: Trichoderma harzianum T39 desarrollado contra B. cinerea; ficha Botrycid: SINERGIA con Trichoderma,SIN_DATO,bolsa 1 kg,72041,72041,SIN_DATO,SI (biologico),POR_VERIFICAR_FICHA,Con Botrycid = combinacion que la propia ficha de Botrycid recomienda
Kumulus WG,BASF,azufre 80 %,oidio,LIT: azufre = el control inorganico mas confiable de oidio (85-96 %) -- PMC11813349,SIN_DATO,bolsa 1 kg,23773,23773,SIN_DATO,SI (mineral permitido; confirmar con la certificacion de DCB),POR_VERIFICAR_FICHA,OJO: fitotoxico con calor y con aceites; incompatible con Paecilomyces (hoja Stock: Acarex). No mezclar con No Fly
Polycal,Safer,SIN_DATO (fungicida organico Safer),hongos de raiz y follaje; rosa,web croper.com,SIN_DATO,bidon 1 L,31948,31948,SIN_DATO,SI (linea organica Safer),POR_VERIFICAR_FICHA,
Yakarta,Nourish,extracto de arbol de te (Melaleuca),preventivo y curativo,web SPACHEM,SIN_DATO,bidon 1 L,138564,138564,SIN_DATO,SI (extracto),POR_VERIFICAR_FICHA,Mismo activo que Timorex Gold (que ya esta en bodega)
Thyme Guard,Peti Rouge,extracto de tomillo,hongos foliares,SIN_DATO,SIN_DATO,bidon 1 L,133685,133685,SIN_DATO,SI (extracto),POR_VERIFICAR_FICHA,
STK Regev,Adama,arbol de te + DIFENOCONAZOL,hongos,conocido,SIN_DATO,bidon 1 L,237907,237907,,NO -- difenoconazol es triazol de sintesis,DESCARTADO,Aparece en la linea BIO de la lista pero NO es organico
