grupo,subtipo_o_cultivar,rol_cartera,alterna_con,cadencia_siembra,ventana_objetivo,area_objetivo,destino,no_solapar,regla,confianza,fuente,notas
Statice,,BASE,,,,bloque productivo,fresco + seco,,Produccion SIEMPRE,alta,Vanessa 2026-09-10,"""Es lo que le genera el cuerpo al bouquet."" Base tambien de los paquetes: les da volumen y color. Se usa para secos"
Campanula,,BASE,,,,bloque productivo,fresco,,Siempre debe haber,alta,Vanessa 2026-09-10,Dictada como base el 2026-09-10 (primer dictado)
Boca de Dragón,,BASE,,,,bloque productivo,fresco,,Siempre debe haber,alta,Vanessa 2026-09-10,Dictada como base. NO se seca (secado_variedad.csv: unico canal viable es fresco)
Strawflower,,BASE,,,,exterior,seco + fresco,,Siembra SIEMPRE,alta,Vanessa 2026-09-10,"Flor de exterior. ""No se nos queda ni un tallo, todo se usa."" Perfecta para coronas, cintillos y secos. OJO DE COSECHA: si se estallan, en seco no duran tanto — cosechar bien a tiempo"
Amaranto,,BASE,,3 semanas,todos los meses,bloque productivo,fresco + seco,,Produccion pequena pero CONSTANTE todos los meses,alta,Vanessa 2026-09-10,"Da toque de cascada. ""Se vende increible con los wedding planners"" y se seca. Ventana de cosecha de solo 2-3 semanas: por eso una cama PEQUENA cada 3 semanas, o una cama grande sembrada en sucesion"
Ammobium,,BASE,Matricaria,,,,seco + fresco,,Base que se ALTERNA con Matricaria,alta,Vanessa 2026-09-10,"Mismo tipo de flor que la matricaria (centro amarillo). Se seca SUPER bien: ""deberia haber siempre ammobium seco para las coronas de Navidad"". Pendiente de resolver: el campo reporto demasiada flor para lo que piden, y devoluciones por pudricion de la parte baja del tallo"
Matricaria,,BASE,Ammobium,,,Mini o 3A,fresco,,Base que se ALTERNA con Ammobium,alta,Vanessa 2026-09-10,"No se seca tan bien. MOSCA BLANCA. Mejores cosechas en MINI y 3A; malas en 3C, 4 y 5. Se va a sembrar en 3B: si no mejora, Vanessa planteo que no tendria sentido seguir sembrandola"
Ammi,,BASE_ENCAJE,Trachellium,,,bloque productivo,fresco,,El rol es ENCAJE y lo llena Ammi o Trachelium,alta,Vanessa 2026-09-10,"""Un encaje que puede ser ammi o traquelio."" Por eso la receta dice ""Trachelium o Ammi"". Combina bien con esparrago (prueba de Vanessa)"
Trachellium,,BASE_ENCAJE,Ammi,,,bloque productivo,fresco,,Ver Ammi,alta,Vanessa 2026-09-10,Cualquiera de los dos cumple el rol de encaje
Lisianthus,,FOCAL,"Zinnia, Girasol, Dahlias, Celosia cristata",,,bloque productivo,fresco,,Focal preferida; el rol no puede quedar vacio,alta,Vanessa 2026-09-10,"Ciclo 19-23 semanas: no se improvisa. ""Cabeza grande"" y ""cabeza pequena"" de las recetas son GRADO, no cultivares"
Zinnia,,FOCAL,,,agosto · diciembre · marzo,bloque productivo,fresco,,"Sembrar contra PICOS DE EVENTOS, no contra demanda continua",alta,Vanessa 2026-09-10,"""Es mas una flor de eventos que de carritos."" Delicada — se van a probar las variedades mas resilientes del trial. Cambiar de color entre siembras y dejar respiro"
Girasol,Pro Cut Plum,FOCAL,,,2 veces al ano,bloque productivo,fresco + seco,,"El rosado 2 veces al ano, en epocas de eventos",alta,Vanessa 2026-09-10,"BLOQUEADO POR SEMILLA: Ball no lo germina porque no tiene acceso a esa semilla — tiene que ir por ANDRES y comprada por Vanessa. Por eso no se ha sembrado. ""El mas vendible por paquete"", se siembra ""para generar conversacion, a todo el mundo le encanta"". Flor de eventos: primeras comuniones, grados, amor y amistad"
Girasol,,FOCAL,,,,bloque productivo,fresco + seco,,Focal de temporada,alta,Vanessa 2026-09-10,PROBLEMA: abre muy rapido y atrae muchos insectos; un tallo ligeramente comido ya no es usable. Se secan los centros
Dahlias,tamaño Ball (bola),FOCAL,,,,Bloque 2 + jardin,fresco,,"AUMENTAR produccion, solo las de salida y buena duracion",alta,Vanessa 2026-09-10,"""Ball"" es a la vez el PROVEEDOR y el TAMANO — coinciden (Vanessa 2026-09-10). Las de tamano bola duran bien en bouquet y se venden por paquetes. Perenne: el denominador correcto es el AREA, no las plantas"
Gomphrena,,TOQUE,,,,bloque productivo,fresco,,"En CICLOS con RESPIRO entre cosechas, cambiando color o combinacion",alta,Vanessa 2026-09-10,"NO ES BASE (corrige la hipotesis del 2026-09-10). ""Dentro de los bouquets solamente da toques de color, es juguetona, le aporta personalidad."" Genera un paquete propio cuando entra en cosecha"
Green Ball,Punky Ball,TOQUE,,¿4 o 6 semanas?,,4A (tamano mas que justo),fresco + seco,SI,"Una cama por ciclo, SIN SOLAPAR con otra en cosecha",alta,Vanessa 2026-09-10,"Toque para bouquets y apoyo de paquetes. Se seca pero no se usa mucho en secos. Ciclo largo. PENDIENTE DE CALCULAR la cadencia: hubo cruce de camas en cosecha al tiempo y ""perdemos un monton"". Analisis pedido: las 2 camas de 4A contra la de 4B — sembrado vs cosechado, ventana real y tallos"
Larkspur,Light Blue,TOQUE,,,,Inv 2,SECO,,"Boost. Poca cantidad en Inv 2, NO area productiva de Inv 3",alta,Vanessa 2026-09-10,Canal principal SECO: en fresco se despetala en el carrito. Light Blue seca mejor y es el unico azul verdadero. El lote de 4.788 plantas en 3A contradice la regla
Colitas de conejo,,TOQUE,,,,Inv 2,fresco + seco,,Toque en curso,alta,Vanessa 2026-09-10,1.170 plantas en Inv 2. Excedente al seco para coronas de Navidad
Craspedia,,TOQUE,,,,Inv 2,,,Toque en curso,alta,Vanessa 2026-09-10,"338 plantas en Inv 2, cosecha desde AGOSTO"
Scabiosa,Estrella,TOQUE,,,,Inv 2,,,Toque en curso,alta,Vanessa 2026-09-10,"870 plantas en Inv 2, cosecha desde AGOSTO"
