Variedad,Proveedor,Zona óptima,Zona mala/descartar,Ciclo real (sem),Ventana cosecha (sem),Ciclo total (sem),Calidad tallo,Uso principal,Canal,Decisión,Cantidad referencia,Observaciones clave
Dusty Miller Silver Dust,Ball/Andrés,"Inv5 (densidad correcta, siembra zigzag), 3B, Inv2",Inv5 húmedo/poca luz,25,3,28,★★,Filler bouquets + follaje + base secos,Fresco+Seco,MANTENER — escala reducida fuera de Navidad,"Cama pequeña todo el año (base ediciones especiales + secos); ampliar solo para temporada navideña — no conviene ciclo tan largo para venta en sólido","New Look DESCARTADA nunca elongó. Inv5 húmedo da calidad menor. TRIAL Ball vs Andrés CERRADO: cosecha desde semana ISO 30 en Inv5. Siembra en zigzag da mejor tallo central (mayor longitud) que surco recto; mayor densidad da tallos más cortos y laterales casi perdidos. CONFIRMADO: es la Silver Dust la de tallos bien largos — combinación muy bonita, fuerte respuesta de clientes en Navidad. Fuera de temporada navideña: casi no se pide en sólido (ni event planners, ni clientes, ni carritos) — Vanessa no ve valor en cama grande de ciclo tan largo para eso. Usar resto del año solo como base para ediciones especiales, bouquets especiales y secos."
Dusty Miller New Look,Ball,N/A,Toda la finca,25,0,,✗,N/A,N/A,DESCARTAR,0,"NUNCA elongó en ninguna siembra. Sem31, sem18, sem49: todos fallaron. Variedad descartada permanentemente. Solo Silver Dust viable."
Snapdragon MB Bronze,Tecniplantas,Inv4 (densidad menor),Alta densidad,12,2,14,★,Paquetes + bouquets,Fresco,REDUCIR,1 cama máximo,Problemas hídricos em siembras anteriores. Problema principal: follaje inferior excesivo. Ensayo pendiente: sembrar a 1 por hueco (no 2) para sacar 2 tallos. Madame Butterfly tiene mucho follaje inferior = necesita densidad menor que Potomac.
Limonium Senzii White Ball,Dümmen Orange,Ninguna confirmada,Toda,20,3,23,✗,N/A,N/A,DESCARTAR,0,Tejido vegetal de Dümmen. Botritis severa. Ser más caro no lo hace mejor. Evaluar Forever Happy vs Hipster vs Seeker para resistencia a botritis.
Snapdragon MB Ivory,Tecniplantas,Inv4 (densidad menor),Alta densidad,12,2,14,★★,Paquetes + bouquets,Fresco,MANTENER,1-2 camas,Más consistente de todos los MB. Mismo ensayo pendiente: densidad 1 por hueco para mejorar tallo. Ciclo estable 12 sem.
Celosia Calway Red,Ball,Inv4B,N/A,14,2,16,★★★,Paquetes + bouquets especiales,Fresco,MANTENER,1 cama — producción limitada,"Color rojo cereza único, muy navideño. Problema: 1 planta = 1 tallo (no ramifica). Tallo llena mucho con laterales pero no separables. Precio alto por ser F1. Pendiente: encontrar combinación que la haga vender mejor como paquete."
Celosia Calway Salmon,Ball,N/A,N/A,14,2,16,★,Bouquets relleno,Fresco,DESCARTAR,0,A la gente no le gustó. Semilla muy cara. No justifica el costo.
Celosia Dreams Mix,DCB (semilla propia),Toda la finca,N/A,14,3,17,★★,Relleno bouquets + secos,Fresco+Seco,MANTENER,2-3 camas constantes,Semilla propia guardada = muy barata + adaptada al clima. Mezcla de espicata/plumosa/cristata silvestre. No vende bien como paquete sola. Funciona perfectísimo como filler en bouquets. En secos también. Pendiente: encontrar combinación de paquete que funcione.
Daucus Carota Purple Kisses,Johnny's,Exterior con plástico,Exterior sin plástico,24,2,26,★★,Bouquets especiales + arreglos novia,B2B+Fresco,REDUCIR,1 cama exterior — prueba con fertilización,Se demora el doble que Ammi. Afuera le va bien pero maleza la come sin plástico. Sueño: mezcla Ammi+Trachellium+Daucus. Para arreglos novia más que paquetes. Pendiente: trial con plástico + fertilización antes de decidir.
Trachellium White Lake,Ball/Andrés,"3A, 3B, Inv5",N/A,15,3,18,★★★,Relleno bouquets + paquetes mixtos,Fresco+Seco,MANTENER,2-3 camas constantes,"Duración mayor que Ammi. Resistente, pocos problemas de botritis. Llena muy bien. Ciclo 15 sem, ventana buena sem 15-16 luego cae. Pendiente: ensayo densidad 1/hueco para más laterales y justificar ciclo largo. 15-30 tallos en semanas finales = muy bajo. Secos: pendiente aprender a colorear."
