variedad,bloque,sem_inicio,sem_pico,evidencia_literal,fuente
Matricaria Snowball,3B/4A/5/mini,27,28,"Inicio cosecha sem27, pico sem28. Buena cosecha",campo_siembras.csv COMENTARIOS
Gomphrenas Quis Red,4A/3A,,9,Semana 9 es la longitud y tamano de bola mas grande,campo_siembras.csv COMENTARIOS
Helipterum Pierrot White,2,6,8,"Hemos cosechado bastante semana 6, sem 8 super productivo",campo_siembras.csv COMENTARIOS
Celosias Dreams,4B,14,15,"comienza cosecha semana 14, excelente semana 15",campo_siembras.csv COMENTARIOS
Green Ball Punky Ball,3B,,16,Buenisimos tallos en semana 16,campo_siembras.csv COMENTARIOS
Zinnia Aurora,5,16,21,"Semana 21 cosecha wow aun, sem 22 idem",campo_siembras.csv COMENTARIOS
Gomphrena Quis Carmine,3A bajas,19,21,super buena produccion en la 21 y 22,campo_siembras.csv COMENTARIOS
Gomphrena Sequin,3A bajas,19,21,Super buena produccion en la 21 y 22,campo_siembras.csv COMENTARIOS
Limonium Forever Happy,4AB,20,21,produccion increible en semana 21 y 22,campo_siembras.csv COMENTARIOS
Strawflower Apricot,6,19,21,Produccion increible (2 baldes semanal) en semana 21 y 22,campo_siembras.csv COMENTARIOS
Larkspur Misty Lavender y Light Blue,3A,20,21,Cosecha extraordinaria en semana 21 y 22,campo_siembras.csv COMENTARIOS
Snapdragon Potomac Royal,4A,21,22,"excelente cosecha en semana 22, EXCELENTES TALLOS",campo_siembras.csv COMENTARIOS
Snapdragon Opus Fresh,4A,21,22,"excelente cosecha en semana 22, EXCELENTES TALLOS",campo_siembras.csv COMENTARIOS
Snapdragon Monaco Orange,4A,,27,Pico cosecha sem27. Sale toda al tiempo a diferencia de Plumblossom,campo_siembras.csv COMENTARIOS
Statice Forever Happy,3A+3B+4A,27,27,Inicio cosecha sem27. Muy buena cosecha desde sem27,campo_siembras.csv COMENTARIOS
Matricarias,3A,14,15,"Empezando cosecha en semana 14, en semana 15 la pelamos, fue perfecto",campo_siembras.csv COMENTARIOS
