Producto,Precio,Categoría,Ingrediente,Cantidad,Origen,Notas,
Cosecha Grande,125000,Bouquet,11 flores DCB + 4 follaje comprado,,,,
,,,Ruscus,3-4,Comprado,follaje comprado,
,,,Eucalyptus Parvifolia,2-3,Comprado,follaje comprado,
,,,Silver Dollar,2,Comprado,follaje comprado,
,,,Helecho,0-1,Comprado,follaje comprado — según largo,
,,,Statice Forever Happy,3-5,DCB,según grosor disponible,
,,,Campanula Champion Pink/White,3,DCB,,
,,,Snapdragon (Boca de Dragón),3,DCB,,
,,,Zinnia,3,DCB,,
,,,Girasol Pro Cut,1,DCB,,
,,,Gomphrena Quis Carmine,5,DCB,,
,,,Green Ball Punky Ball,1,DCB,,
,,,Ammi Majus,1,DCB,,
,,,Amaranto Emerald Tails,1,DCB,,
,,,Larkspur Misty Lavender,1,DCB,,
,,,Strawflower,1,DCB,,
Cosecha Pequeño,105000,Bouquet,9 flores DCB + 3 follaje comprado,,,,
,,,Ruscus,3-4,Comprado,follaje comprado,
,,,Eucalyptus Parvifolia,2,Comprado,follaje comprado,
,,,Silver Dollar,1-2,Comprado,follaje comprado,
,,,Statice Forever Happy,2-3,DCB,según ancho disponible,
,,,Campanula Champion Pink/White,2,DCB,,
,,,Snapdragon (Boca de Dragón),2,DCB,,
,,,Girasol Pro Cut,1,DCB,más pequeño,
,,,Gomphrena Quis Carmine,3,DCB,,
,,,Green Ball Punky Ball,1,DCB,,
,,,Ammi Majus,1,DCB,,
,,,Amaranto Emerald Tails,1,DCB,,
,,,Larkspur Misty Lavender,1,DCB,,
Centro de mesa pequeño,145000,Centro de mesa,8 flores DCB + 1 follaje comprado,,,,
,,,Team Wheeler (florero),2,Comprado,base — cada uno lleva 3 tallos aprox,
,,,Zinnia,3,DCB,,
,,,Green Ball Punky Ball,1,DCB,,
,,,Ammi Majus,1,DCB,,
,,,Lisianthus,1,DCB,,
,,,Girasol sin pétalos,1,DCB,solo el centro,
,,,Gomphrena Quis Carmine,5,DCB,,
,,,Larkspur Misty Lavender,3,DCB,,
,,,Snapdragon (Boca de Dragón),1,DCB,,
Dream Big,270000,Bouquet especial,9 flores DCB + 3 follaje comprado,,,,
,,,Ruscus,4,Comprado,follaje comprado,
,,,Eucalyptus Parvifolia,3,Comprado,follaje comprado,
,,,Silver Dollar,3,Comprado,follaje comprado,
,,,Statice Forever Happy,5,DCB,,
,,,Green Ball Punky Ball,3,DCB,,
,,,Zinnia,3,DCB,,
,,,Lisianthus,1,DCB,,
,,,Gomphrena Quis Carmine,5,DCB,,
,,,Amaranto Emerald Tails,1,DCB,,
,,,Snapdragon (Boca de Dragón),5,DCB,,
,,,Campanula Champion Pink/White,3,DCB,,
,,,Ammi Majus,1,DCB,,
Bouquet pureza,100000,Bouquet condolencias,7 flores DCB + 4 follaje comprado,,,,
,,,Ruscus,4,Comprado,follaje comprado,
,,,Helecho,2,Comprado,follaje comprado,
,,,Silver Dollar,2,Comprado,follaje comprado,
,,,Eucalyptus Parvifolia,3,Comprado,follaje comprado,
,,,Girasol Pro Cut White,3,DCB,,
,,,Ammi Majus,3,DCB,,
,,,Ammobium Alatum,3,DCB,,
,,,Snapdragon (Boca de Dragón),3,DCB,,
,,,Campanula Champion White,3,DCB,preferiblemente blanca,
,,,Gomphrena Quis Carmine,3,DCB,,
,,,Green Ball Punky Ball,3,DCB,,
Bocas de dragón (paquete),50000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Snapdragon (Boca de Dragón),10,DCB,,
Campanula (paquete),40000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Campanula Champion Pink/White,10,DCB,,
Paquete statice pink dreams,40000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Statice Forever Happy,10-12,DCB,,
Amaranto cascada (paquete),45000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Amaranto Emerald Tails,10,DCB,,
Paquete girasol blanco,44000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Girasol Pro Cut White Lite,5,DCB,,
Campanulas y statice (paquete),55000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Campanula Champion Pink/White,10,DCB,,
,,,Statice Forever Happy,3,DCB,,
Strawflower dream mix,40000,Paquete,2 flores DCB + 0 follaje comprado,,,,
,,,Strawflower Apricot,5,DCB,mix Apricot + Cranberry,
,,,Strawflower Cranberry Rose,5,DCB,,
Green ball (paquete),40000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Green Ball Punky Ball,12,DCB,,
Paquete zinnias sunset,54000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Green Ball Punky Ball,10,DCB,,
,,,Statice Forever Happy,3,DCB,,
Gomphrenas (paquete grande),90000,Paquete,2 flores DCB + 1 follaje comprado,,,,
,,,Ruscus,4,Comprado,follaje comprado,
,,,Gomphrena Quis Carmine,20,DCB,mix Carmine + Sequin,
,,,Gomphrena Sequin,6,DCB,,
Gomphrenas blancas (paquete),45000,Paquete,2 flores DCB + 0 follaje comprado,,,,
,,,Gomphrena Audrey White,4,DCB,,
,,,Statice Forever Happy,5,DCB,,
Paquete ammobium,45000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Ammobium Alatum,10,DCB,,
Larkspur (paquete solo),65000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Larkspur Misty Lavender,15,DCB,,
Larkspur combinado,55000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Larkspur Misty Lavender,10,DCB,,
,,,Statice Forever Happy,5,DCB,,
