Fecha,Sem ISO,Decisión,Razón
2026-07-07,27,"Sacar Campanula Champion Lavender (3B, sem16) del cultivo definitivamente",Rindió 0.64 t/planta vs 0.92 de la blanca en el mismo bloque. Flor sin comprador se marchitó por polinizadores. Patrón no se repite en otras variedades.
2026-07-07,27,"REGLA PREVENTIVA: en Statice (cualquier variedad), aplicar Botrycid+Equifun preventivo desde semana 14-15 de cosecha, antes de esperar sospecha de botrytis.","Minería de patrones sem27: 3 registros históricos (Forever Silver, Quis Apricot, Hipster White) muestran botrytis apareciendo consistentemente entre semana 16-21 de cosecha, independiente de variedad. Patrón de ventana temporal, no de variedad. Muestra pequeña (8 comentarios) — confirmar con más ciclos."
2026-09-03,36,"ARRANQUE DEL PROGRAMA DE FERTILIZACIÓN INTEGRAL. Desde hoy se aplica en TODOS los bloques: fertirriego con fórmula única (hoja v3), preparación de camas v8, Bokashi V1 y compostaje térmico. Reemplaza el Protocolo_Preparacion_Camas_DCB_v7 y las 4-5 fórmulas de fertirriego anteriores.","Decisión de Vanessa el 2026-09-03. Diseñado sobre los informes de suelo 38189, 38190 y 38191 de Natural Control (agosto 2026). Detalle en 00-contexto/05-bitacora-de-cambios.md. Esta fecha es el T=0 contra el que se mide todo el efecto del cambio."
2026-09-03,36,"FERTIRRIEGO: una sola fórmula para todos los bloques y todas las etapas. Calcinit 1.200 g + Borosol 12 g + 20 ml de solución madre de cobre por tanque de 2.000 L. Sale Polyfeed, sale Bitter Mag, sale Haifa Micro.","Saturación de K en 23,7-30% contra referencia de 2-5% y Mg en 32-38%: el programa anterior alimentaba el desbalance que hay que corregir. Con Mg saturado no se reemplaza Mg. El operario pasa de 20-25 números a 3. Calcinit a $3.183/kg contra $7.614 del Haifa N-Cal, ficha idéntica."
2026-09-03,36,"PREPARACIÓN DE CAMAS: salen Haifa Cote NP y Cote NPK de todos los bloques. Sale Sáfer Terra Life. Queda Bokashi + leonardita (Black Diamond 12,5 g/m2 en Bloque 3 y 6,5 en Bloques 4 y 5). Entra yeso agrícola 100 g/m2 solo en Bloque 4.","Cuatro razones para los cotes: la bomba nueva resuelve el pico hídrico que era su premisa, son el 50-57% del costo de la cama, el recubrimiento polimérico es el residuo más persistente del programa, y los marcos de Ingham y Kempf los rechazan por caminos opuestos. Terra Life sale por aritmética: declara 1,1x10^4 UFC/g y el suelo mide Trichoderma en 1,4x10^6. Costo por cama -58 a -66%."
2026-09-03,36,"CORRECCIÓN DE COBRE EN INV 5, una sola vez: una bolsa de 500 g de Kelasys Cobre (EDTA 12%) repartida en las 13 camas, al suelo.","Cu en 2,9 mg/kg clave B, el único bloque deficiente. Por fertirriego el piso teórico de 28,7 g de Cu costaría $577.489 en 80 tanques: corregir una reserva de suelo necesita masa y el fertirriego entrega concentración. No se repite sin autorización."
2026-09-03,36,"🔴 EMPEZAR A MEDIR LONGITUD DE TALLO en 07-datos/calidad_tallo.csv, y dejar 3-4 camas de Inv 4A con cote como control.","El programa nuevo tiene una brecha de medición, no un riesgo agronómico: sin savia y sin longitud de tallo no hay forma de detectar temprano si la biología no entrega. La liberación residual de los cotes ya aplicados es el amortiguador del primer ciclo y ya está pagada. Cuesta una cinta métrica."
2026-09-09,37,"PROTOCOLO DE INOCULACION NUEVO, vigente para TODA siembra. ETAPA 1 BANDEJA (viernes, un pase): en 5 L para 4 bandejas, base de Endorhiza 10 cc + Nube 10 cc + Promobac 13 cc en toda bandeja; mas Fitoderma 5 g en lisianthus/dianthus/Green Ball y Interactor 10 cc en matricaria. ETAPA 2 CAMA (dia de la preparacion, paso 5): 1,5 cc de Fosfolip por bomba LLENA de 20 L, en todas las bombas, ~5 bombas por cama, y riego de arrastre con agua sola antes del plastico. ETAPA 3: nada a mitad de ciclo salvo por evento (encharcamiento o fungicida que barrio la biologia).","Reemplaza el tanque de 2.000 L cada 3-4 semanas. Tres razones: (1) las camas estan mezcladas dentro de cada bloque, asi que aplicar por goteo le cae a camas en produccion; (2) un drench no mueve una poblacion establecida -- el Trichoderma residente esta en 1,4x10^6 UFC/g y los 500 g de Fitoderma aportaban 0,04%; (3) la bandeja entrega a la raiz en 45x menos agua, asi que ahi el producto llega concentrado y cuesta ~1% del programa. Costo: $4.446.915/ano -> ~$290.000/ano, con mas cobertura (hoy el Mini y los exteriores no reciben nada)."
2026-09-09,37,"REGLA: la dosis de la cama va por BOMBA LLENA, y el producto va en TODAS las bombas de esa cama. Fosfolip 1,5 cc por bomba de 20 L = 2 L/ha.","Una bomba es una SECCION de la cama, no una fraccion de la mezcla: concentrar la dosis en la primera bomba deja el resto de la cama sin tratar, y el riego de arrastre baja el producto pero no lo mueve a lo ancho. Y como las bombas por cama ya son proporcionales al area, la dosis por bomba es la dosis por area: 1, 3, 5 o 6 bombas dan todas 2,1 L/ha."
2026-09-09,37,"REGLA: toda dosis del repositorio lleva escrita al lado la base de la que salio (cc/L, g/m2, por planta o por hectarea) y de que ficha o fuente viene.","En una sola sesion cambie de base tres veces con el Fitoderma (50 g, 8 g, 5 g) y una con el Promobac, sin declararlo. Si la base no esta escrita nadie puede revisar el numero. Y un umbral biologico se busca y se cita, o se declara como suposicion: no se afirma."
2026-09-09,37,El Raizal 400 y el Fullfert salen del drench de inoculacion. El Promobac sale de la CAMA (se queda en bandeja). El No Fly se queda en el programa foliar.,"Raizal: es producto de trasplante por etiqueta y a 300 g en 2.000 L entregaba su complejo auxinico 33-67x mas diluido que la etiqueta. Fullfert: aportaba 0,06 g de C/m2 contra 450 del Bokashi, y su rol de complejante ya lo cumple en el tanque de fertirriego. Promobac en cama: duplicaba la bandeja sobre la misma raiz, dias despues, y por 7,8x el costo."
