semana,familia_color,pct_min,pct_max,nota
*,NEUTRO,0.15,0.30,PROPUESTA — SIN VALIDAR. Neutro da descanso visual pero no cuenta como surtido
*,ROSA_MEDIO,0.10,0.25,PROPUESTA — SIN VALIDAR. DCB tiene mucha oferta rosa (Campanula Gomphrena Zinnia Lisianthus)
*,ROSA_FUERTE,0.05,0.20,PROPUESTA — SIN VALIDAR
*,FUCSIA,0.05,0.20,PROPUESTA — SIN VALIDAR. Gomphrena Quis Carmine es el caballo de batalla
*,LAVANDA,0.05,0.20,PROPUESTA — SIN VALIDAR. Larkspur Misty Lavender + Campanula Champion Lavender
*,MORADO,0.00,0.15,PROPUESTA — SIN VALIDAR. Limonium Ruso + Trachelium Purple Lake + Potomac Royal
*,AMARILLO,0.05,0.15,PROPUESTA — SIN VALIDAR. Solo Lisianthus (ciclo 19-23 sem) — oferta estructuralmente escasa
*,NARANJA,0.05,0.15,PROPUESTA — SIN VALIDAR. Zinnia Aurora + Monaco Orange + Lisianthus Megalo Orange Deep
*,ROJO,0.00,0.15,PROPUESTA — SIN VALIDAR. Solo Boca de Dragon (Monaco Red Cannes Red Potomac Crimson)
*,ALBARICOQUE,0.00,0.15,PROPUESTA — SIN VALIDAR. Strawflower Apricot + Statice Hipster Apricot + Celeb 2 Apricot
*,BURDEOS,0.00,0.10,PROPUESTA — SIN VALIDAR. Solo Amaranto (Velvet Curtains Love Lies Bleeding) — sin ciclo registrado
*,AZUL_CLARO,0.00,0.10,PROPUESTA — SIN VALIDAR. Solo Larkspur Light Blue — unico azul verdadero del catalogo
