producto,casa_comercial,categoria,organismo_vivo,modo_accion,blancos,formulacion,via,dosis_min_25L,dosis_max_25L,unidad,dosis_fuente,intervalo_dias,max_por_ciclo,carencia_h,reingreso_h,ventana_uv,restricciones,ficha_estado,ficha_archivo,registro_ica,vida_util,conservacion,stock,stock_unidad,stock_fecha,presentacion,presentacion_unidad,precio_cop,precio_fecha,proveedor,notas
Raxter Mix SC,,INSECTICIDA,HONGO+BACTERIA,contacto/infeccion (entomopatogenos),chiza (larvas de coleoptero),SC,DRENCH,,,cc/cama,"FICHA: 50 cc por cama (cama estandar 1,20x30 m)",15,,,,TARDE_ESTRICTA (foliar); drench menos sensible,NO mezclar con fungicidas ni bactericidas; coadyuvantes solo SIN alcohol,CONFIRMADA,FT8030 v2 (2026-02-10),14487,SIN_DATO,,0,cc,2026-09-23,,,,,,"Dosis por cama, no por 25 L. Densidad 0,80-0,99 g/ml. | Lista agosto 2026 trae RAXTER MIX WP (polvo) a $77.763/kg: es otra formulacion, no el SC que se uso."
Safer Mix WP,,INSECTICIDA,HONGO+BACTERIA,contacto/infeccion (entomopatogenos),mosca blanca (Trialeurodes); trips en rosa,WP,FOLIAR,25,25,g,FICHA: mosca blanca 1 g/L,,,N.A,N.A,TARDE_ESTRICTA,"hongo vivo: no con fungicidas (regla por clase, confirmar en la ficha); Hoja Stock: Fungicidas, bactericidas, UV",CONFIRMADA,,,SIN_DATO,,500,g,2026-03-26,500,g,50342,"2026-08 (lista distribuidor, 07-datos/fuentes/)","distribuidor (Alma Agricola) -- lista agosto 2026, IVA 0%",Hoja Stock dice 1.5 g/L (la ficha manda) | Lista agosto 2026: SAFERMIX WP bolsa 500 g (bolsa 5 kg: $541.266)
Alysin,Safer Agrobiologicos,INSECTICIDA,NO,repelente (volatiles ajo-aji),trips (Frankliniella) certificado; amplio espectro no certificado,SL,FOLIAR,25,25,cc,"FICHA: ornamentales 1 cc/L, semanal",,,,,FLEXIBLE,,CONFIRMADA,,4356,1 ano,,500,cc,2026-03-26,1000,cc,55792,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Redundante con Apiche: usar hasta agotar. | Composicion (hoja Stock): ajo-aji | Hoja Stock dice 2 cc/L (la ficha manda) | Ficha Drive (Alisin, 1vm46yg995UqdxDzhuXQckCbgdvT26BUh): extracto de aji 100 g/L + ajo 100 g/L; 1-2 cc/L; ""altamente compatible con insecticidas""; semanal o quincenal."
Amicos MC nt,,NUTRICIONAL,NO,corrector de micronutrientes (sulfatos),deficit de Mn y Zn,SL,FOLIAR,50,75,cc,FICHA: ornamentales 200-300 ml/hl,8-10,5,,,FLEXIBLE,sulfatos: revisar con calcio en el mismo tanque,CONFIRMADA,FTP Amicos Mc nt rev.2 (05-10-2022),,,,1000,cc,2026-03-26,1000,cc,110189,"2026-08 (lista distribuidor, 07-datos/fuentes/)","distribuidor (Alma Agricola) -- lista agosto 2026, IVA 0%","OJO precio: la hoja lo registra como ""Amicos MC, Bacillus subtilis"" -- puede ser otro producto que el Amicos MC nt (Mn+Zn) de la ficha | Lista agosto 2026: AMICOS MC SC bidon 1 L -- confirmar que sea el mismo producto que la ficha ""Amicos MC nt"""
Equifun,Bioquirama,FUNGICIDA,NO,preventivo; silicio endurece tejido,"botrytis, alternaria",SIN_DATO,FOLIAR,75,125,cc,FICHA flores y follaje: 3-5 cc/L,,,0,,FLEXIBLE,Ficha: compatible con la mayoria de insecticidas; prediluir en 1-2 L,CONFIRMADA,"bioquirama.com (act. 2022-11-01), texto en 03-fitosanidad/fichas/Equifun.txt",1384 (produccion),6 meses,"fresco, seco y sombreado",7000,cc,2026-03-26,4000,cc,123600,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Composicion (hoja Stock): cola de caballo - silicio | FICHA: Equisetum arvense + E. giganteum 70 %, glicosidos 20 %; acido silicico, silicatos, equisetonina (saponina). Preventivo. Vida util 6 meses."
Botrycid,Natural Control,FUNGICIDA,BACTERIA,antagonista biologico (Burkholderia),botrytis,SL,FOLIAR,25,50,cc,"FICHA: follaje 1 cc/L (pompon botrytis 1-2 cc/L), suelo 50 cc/cama; cada 12 semanas",84,,,,TARDE,Ficha: REFRIGERAR 2-8 C; vida util 3 meses. Sinergia con Trichoderma (Fitotripen).,CONFIRMADA,"03-fitosanidad/fichas/Botrycid.pdf (v4, 2024-03-04)",6204,3 meses,"Ficha: 2-8 C, 3 meses. DCB sin nevera pero clima fresco y se renueva seguido (Vanessa 2026-09-23): se considera VIABLE si el frasco tiene menos de ~3 meses",1000,cc,2026-03-26,1000,cc,63480,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Etiqueta: 12 semanas entre aplicaciones (segun 01-reglas). | Composicion (hoja Stock): Burkholderia vietnamensis | FICHA: Burkholderia vietnamiensis 1e8 UFC/cc (celulas vivas, bacteria endofita, sideroforos + antibioticos). Fungicida, bactericida y nematicida. El stock de 1.000 cc es de marzo: con 3 meses de vida util probablemente VENCIDO."
Regalia,Precisagro,FUNGICIDA,NO,inductor de resistencia (Reynoutria),"oidio, botrytis",SC,FOLIAR,37.5,50,cc,"FICHA por hectarea: rosa botrytis 1,5 L/ha, rosa oidio 2,0 L/ha. Por bomba asumiendo ~1.000 L/ha: 1,5-2 cc/L",,,,,FLEXIBLE,,CONFIRMADA,03-fitosanidad/fichas/Regalia.pdf (registro 2026-02-24),9432,,,500,cc,2026-03-26,1000,cc,159473,"2026-08 (lista distribuidor, 07-datos/fuentes/)","distribuidor (Alma Agricola) -- lista agosto 2026, IVA 0%","Composicion (hoja Stock): extracto de Reynoutria sachalinensis | Lista agosto 2026: REGALIA bidon 1 L | Se venia usando a 25 cc/bomba: por debajo de la ficha salvo que se asperjen >1.500 L/ha. Inductor de resistencia sistemica (fitoalexinas, proteinas PR)."
Solar,Bioquirama,FUNGICIDA,HONGO+BACTERIA,antagonista biologico (Gliocladium + Pseudomonas),botrytis,SC,FOLIAR,25,50,cc,"FICHA rosas/crisantemo/clavel/alstroemeria: botrytis 1-2 cc/L, preventivo, semanal",7,,0,,TARDE,Ficha: compatible con la mayoria de insecticidas y FUNGICIDAS; NO mezclar con cupricos,CONFIRMADA,"bioquirama.com (act. 2021-11-01), texto en 03-fitosanidad/fichas/Solar.txt",,3-6 meses,"fresco, seco y sombreado",,,,1000,cc,118000,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Sin fila de inventario. Marcado redundante con Botrycid+Equifun+Regalia. | Composicion (hoja Stock): Gliocladium catenulatum + Pseudomonas fluorescens | FICHA: Pseudomonas fluorescens 1e8 UFC/mL + Gliocladium catenulatum 1e8 UFC/mL. Boquilla de alta presion, gota fina. Vida util 3-6 meses."
Hevea brasiliensis beta,"SOAN Laboratorios SAS (Victoria, Caldas)",FUNGICIDA,NO,"microemulsion de suero de Hevea brasiliensis + dodecilbenceno sulfonato de glutationa di-morfolina + cinamaldehido; declara fungicida, insecticida, acaricida y coadyuvante","botrytis, oidio (por uso en choque)",microemulsion,FOLIAR,50,50,cc,"DCB: 50 cc/bomba (Vanessa 2026-09-23: ""uno de los mejores productos que tenemos... el que mejor resultados dio""). Ficha SOAN dice 1-3 % v/v",,,,,,"Ficha: intercalar con HEVEACINNA ALFA (fluorhidrato de glutationa) para evitar adaptacion. Fungicida: por clase, no con hongos vivos.",ACEPTADO_POR_VANESSA,Drive 1Mu4MLK91NXF3iIu8HvYRnIxFsUfWoHh6 (Ficha tecnica HEVEACINNA BETA.docx),NO DECLARADO en la ficha,,,,,,,,,,,"Nombre comercial: HEVEACINNA BETA. La ficha NO trae registro ICA, ni dosis por cultivo, ni compatibilidades, ni carencia/reingreso. Se venia usando a 50 cc/bomba = 0,2 %, entre 5 y 15 veces por debajo del 1-3 % de la ficha. Dodecilbenceno sulfonato es un tensoactivo sintetico y la morfolina es la base de fungicidas de sintesis: revisar si cumple la politica organica de DCB. Presentacion comercial: 60 L o 55 gal. | Vanessa 2026-09-23: sin registro ICA pero de proveedor de confianza, ""super limpio y super natural""; entra a formulacion por decision explicita suya (excepcion a la regla 3)."
ADNGard,ADN Adelante SAS,NUTRICIONAL,NO,nutraceutico: Ca + aminoacidos; barrera a colonizacion,preventivo hongos; pared celular,granulos solubles,FOLIAR,12.5,37.5,g,"FICHA: rosa 0,5-1,5 g/L todo el ciclo",,,,,MANANA (ficha),Ficha: mezclable con insecticidas y acaricidas; con fungicidas consultar a ADN; aplicar maximo 3 h despues de mezclar; en la manana,CONFIRMADA,Drive 1vT-9FZUDSj8XOVByyaOfzYkeLD6BqqSA (v002 2018),6522,2 anos,<25 C,400,g,2026-03-26,500,g,97400,"2023 (hoja Stock) -- DESACTUALIZADO, Vanessa 2026-09-23",,"Composicion (hoja Stock): calcio, aminoacidos y fermentos | FICHA: CaO 11,7 %, Zn 0,4 %, Mn 0,4 %, aminoacidos 2,2 %, fermentos; protectante botrytis (competencia + endurece pared)."
